id,priority,area,owner,task,depends_on,done_criteria,status
P0-PROD-001,P0,PROD,Product,Finalize MVP scope,—,"MVP includes Agent, App, Telegram, Replay; excludes leaderboard and live chat",Backlog
P0-PROD-002,P0,PROD,Product,Confirm two separate submissions,P0-PROD-001,Track 1 and Track 2 outputs are documented separately,Backlog
P0-PROD-003,P0,PROD,Product,Freeze API response standard,—,"All responses follow `{ data, meta }` format",Backlog
P0-PROD-004,P0,PROD,Product,Freeze compliance wording,—,"Product is described as sports intelligence / market insight, not betting advice",Backlog
P0-PROD-005,P0,PROD,Product,Create demo acceptance checklist,P0-PROD-001,Every critical screen and endpoint has a demo/test requirement,Backlog
P0-REPO-001,P0,REPO,Backend,Initialize monorepo,—,"Repo has `apps/web`, `apps/api`, `apps/worker`, `packages/shared`, `docs`, `mock-data`",Backlog
P0-REPO-002,P0,REPO,Backend,Add TypeScript config,P0-REPO-001,Shared TS config works across web/api/worker,Backlog
P0-REPO-003,P0,REPO,Backend,Add environment example files,P0-REPO-001,`.env.example` exists for web/api/worker,Backlog
P0-REPO-004,P0,REPO,Backend,Add lint/format scripts,P0-REPO-001,"`lint`, `format`, `typecheck` scripts run successfully",Backlog
P0-REPO-005,P0,REPO,Backend + Frontend,Add shared types package,P0-REPO-001,`packages/shared` exports API types used by frontend and backend,Backlog
P0-BE-001,P0,BE,Backend,Create API app,P0-REPO-001,API runs locally and returns `/api/health`,Backlog
P0-BE-002,P0,BE,Backend,Add global API response wrapper,P0-BE-001,All API responses include `data` and `meta`,Backlog
P0-BE-003,P0,BE,Backend,Implement mock matches endpoint,P0-BE-002,`GET /api/matches` returns mock matches,Backlog
P0-BE-004,P0,BE,Backend,Implement mock match state endpoint,P0-BE-002,`GET /api/matches/:fixtureId` returns mock match state,Backlog
P0-BE-005,P0,BE,Backend,Implement mock raw data endpoint,P0-BE-002,`GET /api/matches/:fixtureId/raw` returns raw data mock,Backlog
P0-BE-006,P0,BE,Backend,Implement mock timeline endpoint,P0-BE-002,`GET /api/matches/:fixtureId/timeline` returns timeline mock,Backlog
P0-BE-007,P0,BE,Backend,Implement mock odds endpoint,P0-BE-002,`GET /api/matches/:fixtureId/odds` returns odds mock,Backlog
P0-BE-008,P0,BE,Backend,Implement mock signals endpoint,P0-BE-002,`GET /api/matches/:fixtureId/signals` returns signal mock,Backlog
P0-BE-009,P0,BE,Backend,Implement mock scenarios endpoint,P0-BE-002,`GET /api/matches/:fixtureId/scenarios` returns scenario mock,Backlog
P0-BE-010,P0,BE,Backend,Implement mock evaluation endpoint,P0-BE-002,`GET /api/agent/evaluation` returns evaluation mock,Backlog
P0-DB-001,P0,DB,Backend,Setup Postgres connection,P0-BE-001,API can connect to local/dev database,Backlog
P0-DB-002,P0,DB,Backend,Add Prisma or ORM schema,P0-DB-001,Schema includes core tables,Backlog
P0-DB-003,P0,DB,Backend,Create fixtures table,P0-DB-002,Fixtures can be inserted and queried,Backlog
P0-DB-004,P0,DB,Backend,Create match_states table,P0-DB-002,Latest match state can be stored,Backlog
P0-DB-005,P0,DB,Backend,Create match_events table,P0-DB-002,Match events can be stored with unique keys,Backlog
P0-DB-006,P0,DB,Backend,Create odds_snapshots table,P0-DB-002,Odds snapshots can be stored,Backlog
P0-DB-007,P0,DB,Backend,Create signals table,P0-DB-002,Agent signals can be stored,Backlog
P0-DB-008,P0,DB,Backend,Create scenarios table,P0-DB-002,Scenario probabilities can be stored,Backlog
P0-DB-009,P0,DB,Backend,Create health_status table,P0-DB-002,Worker status can be tracked,Backlog
P0-DB-010,P0,DB,Backend,Add seed script,P0-DB-002,Seed script loads demo data into DB,Backlog
P0-TX-001,P0,TX,Backend,Create dedicated project wallet/keypair,—,A separate dev wallet exists and private key is not committed,Backlog
P0-TX-002,P0,TX,Backend,Configure Solana devnet,P0-TX-001,App has `TXLINE_NETWORK=devnet` config,Backlog
P0-TX-003,P0,TX,Backend,Get devnet SOL if needed,P0-TX-001,Wallet can sign/send devnet transaction,Backlog
